"","yq","pr","ln.cv","ll","ul","yr","qtr"
"1",1954.375,1.46584993176922,0.13404332163115,1.12717028790366,1.90629228389621,"1954","0.375"
"2",1954.625,1.48413181080416,0.153925453502047,1.09761108059565,2.00676475555029,"1954","0.625"
"3",1954.875,0.868081373165497,0.10974357699568,0.700075402599327,1.07640586662374,"1954","0.875"
"4",1955.125,1.14035071575706,0.0731143975030089,0.988102977317285,1.31605691388387,"1955","0.125"
"5",1955.375,1.23331532975036,0.0786657366765231,1.05709131035378,1.43891704311538,"1955","0.375"
"6",1955.625,1.78514906456705,0.0732139294804692,1.5465128458724,2.06060828478081,"1955","0.625"
"7",1955.875,1.61212371890416,0.0620855468877606,1.42741443163567,1.82073462860765,"1955","0.875"
"8",1956.125,1.11658085663734,0.0553309536876481,1.00182420202178,1.24448262169442,"1956","0.125"
"9",1956.375,1.23105013768041,0.0604834684108072,1.09343047352372,1.38599067629706,"1956","0.375"
"10",1956.625,1.76866277735367,0.0569479365567766,1.58186702747767,1.97751641930633,"1956","0.625"
"11",1956.875,1.75904425008001,0.0601621551390619,1.56338414868437,1.9791915354543,"1956","0.875"
"12",1957.125,0.902488334710606,0.0576470688974905,0.806067519069694,1.01044289097363,"1957","0.125"
"13",1957.375,1.0595282645173,0.0756520548635405,0.913516124535872,1.22887830127947,"1957","0.375"
"14",1957.625,1.51218511131601,0.0632076779849672,1.33598473550924,1.71162420505814,"1957","0.625"
"15",1957.875,1.18469940219405,0.0704210499952133,1.0319640336962,1.36004029959451,"1957","0.875"
"16",1958.125,1.01921424870117,0.0644725664644645,0.898225396134075,1.15650001572705,"1958","0.125"
"17",1958.375,1.61304642299336,0.0662853480628001,1.41652302789686,1.83683477888447,"1958","0.375"
"18",1958.625,1.81385944691707,0.109869943216656,1.46244804920411,2.24971143074847,"1958","0.625"
"19",1958.875,1.56332155489664,0.102275025753898,1.27935201197355,1.91032199201714,"1958","0.875"
"20",1959.125,0.932360065197429,0.0703051816627011,0.812341582709404,1.07011054176938,"1959","0.125"
"21",1959.375,1.20384292546349,0.0681253073718353,1.05336865895254,1.37581252002467,"1959","0.375"
"22",1959.625,1.73747307316638,0.109435541385414,1.40205376934435,2.15313616780184,"1959","0.625"
"NA",1959.875,NA,NA,NA,NA,"1959","0.875"
"23",1960.125,1.23058929312085,0.0598261365213254,1.09443027073775,1.38368797796761,"1960","0.125"
"24",1960.375,1.33410934166138,0.0574180733896413,1.19210956999352,1.49302361151068,"1960","0.375"
"25",1960.625,1.71500315103061,0.0749918548132719,1.48057552809178,1.98654898195953,"1960","0.625"
"26",1960.875,1.51777727431603,0.0559783099289676,1.36006087208971,1.69378290465094,"1960","0.875"
"27",1961.125,1.00968829184096,0.0551715761143466,0.906200560797474,1.12499427917322,"1961","0.125"
"28",1961.375,1.17329091418855,0.0598445922638315,1.04343394774329,1.31930878068007,"1961","0.375"
"29",1961.625,0.987731333079708,0.0752171554133104,0.852339657204536,1.14462958293785,"1961","0.625"
"30",1961.875,1.06721474216436,0.0583507468163228,0.951880998286513,1.19652278797788,"1961","0.875"
"31",1962.125,1.29624557043569,0.0583318015680714,1.15620342998985,1.4532499517744,"1962","0.125"
"32",1962.375,1.34675605951901,0.0486131042527724,1.22435857864654,1.48138945198242,"1962","0.375"
"33",1962.625,1.0014884917392,0.070057473893127,0.872995163021984,1.14889433707069,"1962","0.625"
"34",1962.875,1.32160608878841,0.0490051327177457,1.20057147281708,1.45484270905103,"1962","0.875"
"35",1963.125,0.871347778687181,0.0465873400449815,0.795308426546219,0.954657245014066,"1963","0.125"
"36",1963.375,1.24437841360202,0.052178490427622,1.12340729842139,1.37837598030083,"1963","0.375"
"37",1963.625,1.1255342587382,0.0660285494556757,0.988903883771853,1.28104195805304,"1963","0.625"
"38",1963.875,1.09112387679545,0.0583213893144442,0.973262276757719,1.2232584606888,"1963","0.875"
"39",1964.125,0.888158723762399,0.05040837857416,0.80460385281555,0.980390431682516,"1964","0.125"
"40",1964.375,1.23909994628333,0.0468421060261688,1.13040360156129,1.3582482175028,"1964","0.375"
"41",1964.625,0.845230999865838,0.058276970933944,0.753996027622911,0.947505579553926,"1964","0.625"
"42",1964.875,0.909432205841738,0.0557258870043475,0.81533389513189,1.01439047482306,"1964","0.875"
"43",1965.125,0.888222904471588,0.0443119345493512,0.814334600221197,0.968815432641134,"1965","0.125"
"44",1965.375,0.882851072978789,0.0475549431689621,0.804281102055317,0.969096519945575,"1965","0.375"
"45",1965.625,0.843487863652576,0.0494574435814471,0.765561019887903,0.929346920292995,"1965","0.625"
"46",1965.875,1.08737000769441,0.0568028651961149,0.97280495707781,1.21542712650751,"1965","0.875"
"47",1966.125,1.0545230724,0.0450929235501688,0.965322024159259,1.15196678661967,"1966","0.125"
"48",1966.375,0.945142895315106,0.0453492286735162,0.864759678352289,1.03299808597309,"1966","0.375"
"49",1966.625,0.966651128826541,0.0511143773304829,0.874501031493606,1.06851149536747,"1966","0.625"
"50",1966.875,1.24072796085887,0.0471306036208802,1.1312489518311,1.36080203244852,"1966","0.875"
"51",1967.125,0.915785546778607,0.0432332920986671,0.841381316379259,0.996769421143835,"1967","0.125"
"52",1967.375,0.688351756866854,0.0452603395604495,0.629918040359049,0.752206018598239,"1967","0.375"
"53",1967.625,1.0719781173377,0.0492278052322405,0.973379882791037,1.18056383162131,"1967","0.625"
"54",1967.875,0.789443048980387,0.0460005579474938,0.721380402348497,0.863927444597217,"1967","0.875"
"55",1968.125,1.08541510263294,0.0502720584213922,0.983565801837782,1.19781100849823,"1968","0.125"
"56",1968.375,1.20898975049465,0.0495553808035447,1.09708487406682,1.33230915068846,"1968","0.375"
"57",1968.625,1.61399269522756,0.0595778858409395,1.43611045717762,1.8139081205268,"1968","0.625"
"58",1968.875,1.23812806621847,0.0481318056368491,1.1266653767401,1.36061792614357,"1968","0.875"
"59",1969.125,1.16717299824342,0.0451026056305406,1.0684227303257,1.27505037955646,"1969","0.125"
"60",1969.375,0.81517224091374,0.0489722181214374,0.740565350698268,0.897295264664725,"1969","0.375"
"61",1969.625,1.12953858990631,0.0504197001422992,1.02325283762972,1.24686429313302,"1969","0.625"
"62",1969.875,1.21215630917765,0.0519628804558082,1.09478018804573,1.34211683214878,"1969","0.875"
"63",1970.125,1.26175105088249,0.0548648197617188,1.13310928350082,1.40499750340446,"1970","0.125"
"64",1970.375,0.935359638410236,0.057084608670473,0.836348391359671,1.04609234884112,"1970","0.375"
"65",1970.625,1.38170064233626,0.0811985607140303,1.17840980998865,1.62006175512985,"1970","0.625"
"66",1970.875,1.11998496192237,0.0540135244695381,1.00747656135221,1.2450575656556,"1970","0.875"
"67",1971.125,0.75396180124729,0.0475640676802839,0.68685014068359,0.827630896565441,"1971","0.125"
"68",1971.375,0.906411711715655,0.0572182659704299,0.810252420577197,1.0139830135281,"1971","0.375"
"69",1971.625,1.32335845188001,0.0748781167390838,1.14272033468882,1.5325513504922,"1971","0.625"
"70",1971.875,1.29908754494307,0.0521610379029083,1.17283804986515,1.43892709621782,"1971","0.875"
"71",1972.125,1.06804590941044,0.0583839444766533,0.952560358751745,1.19753258061589,"1972","0.125"
"72",1972.375,1.08436401644454,0.0699657675271731,0.945407479509037,1.24374446537103,"1972","0.375"
"73",1972.625,0.962516641290595,0.0572908011836431,0.860282983191521,1.07689946548098,"1972","0.625"
"74",1972.875,1.93173079051415,0.0723506455436884,1.67633375226576,2.22603872407672,"1972","0.875"
"75",1973.125,1.62078985523326,0.0642059373903295,1.42913584598073,1.8381455914181,"1973","0.125"
"76",1973.375,1.66286405835723,0.0850168041643773,1.40763151569724,1.96437551002589,"1973","0.375"
"77",1973.625,0.85260252632976,0.0722204170780761,0.74006753825283,0.982249633080848,"1973","0.625"
"78",1973.875,1.04744687200738,0.0658866550372089,0.920551629638714,1.19183423759583,"1973","0.875"
"79",1974.125,1.28825401503363,0.067770715619708,1.12801248611322,1.47125889800098,"1974","0.125"
"80",1974.375,1.1445186525707,0.0896090931369218,0.960165450883974,1.36426794452588,"1974","0.375"
"81",1974.625,1.31558581955168,0.058206800397888,1.17374175591603,1.47457142074213,"1974","0.625"
"82",1974.875,1.11314732785558,0.0607791509635536,0.988135245628808,1.25397507982169,"1974","0.875"
"83",1975.125,1.19188398663727,0.0717484151910262,1.03552479185683,1.37185265748689,"1975","0.125"
"84",1975.375,0.872406612324807,0.084580369827439,0.739133156112317,1.02971066976786,"1975","0.375"
"85",1975.625,0.800028247037942,0.0510152545868967,0.723902805517964,0.884159021321432,"1975","0.625"
"86",1975.875,0.79510555717212,0.0501368201555521,0.720688290682006,0.877207046679956,"1975","0.875"
"87",1976.125,0.600517575603029,0.0588321970647999,0.535114532340899,0.673914343216535,"1976","0.125"
"88",1976.375,0.948157369826274,0.0945366957170122,0.787787644448509,1.14117351838543,"1976","0.375"
"89",1976.625,0.905727760666555,0.07730493613079,0.778384876056535,1.05390379704971,"1976","0.625"
"90",1976.875,0.866792554303562,0.11915368427388,0.686261299719515,1.09481524384833,"1976","0.875"
"91",1977.125,1.84904298219808,0.0555057357721462,1.65843926153919,2.06155270759982,"1977","0.125"
"92",1977.375,2.29469886483127,0.0582787049120833,2.04700010852226,2.57237059164555,"1977","0.375"
"93",1977.625,2.22769701349195,0.0596139253977998,1.98203685122526,2.5038051037513,"1977","0.625"
"94",1977.875,2.1945374433397,0.0496995417093311,1.9908470284351,2.41906812599538,"1977","0.875"
"95",1978.125,2.34234568153751,0.0466842219107178,2.13753176029652,2.56678445379278,"1978","0.125"
"96",1978.375,1.81592212188049,0.047275604525682,1.6552188073383,1.99222793875672,"1978","0.375"
